name,area_sqkm,population_2013,density
Russia,17075200,142833689,8.364978975356072
Canada,9984670,35181704,3.5235720359310823
United States of America,9826630,320050716,32.56973306209758
China,9596960,1385566537,144.37556653356896
Brazil,8511965,200361925,23.53885677396465
Australia,7686850,23342553,3.036686419014291
India,3287590,1252139596,380.86853774345343
Argentina,2766890,41446246,14.979361665986
Kazakhstan,2717300,16440586,6.0503389393883635
Algeria,2381740,39208194,16.461995851772233
Congo Dem Rep of the,2345410,67513677,28.785447746875814
Greenland,2166086,56987,0.02630874305082993
Saudi Arabia,2149690,28828870,13.410710381496868
Mexico,1972550,122332399,62.017388152391575
Indonesia,1919440,249865631,130.17631757179177
Sudan,1844729,37964306,20.579882465120892
Libya,1759540,6201521,3.5245126567170963
Iran,1648000,77447168,46.99464077669903
Mongolia,1564116,2839073,1.815129440527429
Peru,1285220,30375603,23.63455517343334
Chad,1284000,12825314,9.98856230529595
Niger,1267000,17831270,14.073614838200474
Angola,1246700,21471618,17.22276249298147
Mali,1240000,15301650,12.340040322580645
South Africa,1219912,52776130,43.262243506088964
Colombia,1138910,48321405,42.42776426583312
Ethiopia,1127127,94100756,83.48726984625513
Bolivia,1098580,10671200,9.713630322780316
Mauritania,1030700,3889880,3.7740176579023963
Egypt,1001450,82056378,81.93756852563783
Tanzania,945087,49253126,52.114912172106905
Nigeria,923768,173615345,187.9425840687272
Venezuela,912050,30405207,33.337215064963544
Namibia,825418,2303315,2.79048312491368
Pakistan,803940,182142594,226.56242256884843
Mozambique,801590,25833752,32.228136578550135
Turkey,780580,74932641,95.9961067411412
Chile,756950,17619708,23.277241561529824
Zambia,752614,14538640,19.31752531842352
Myanmar (Burma),678500,53259018,78.49523655121591
Afghanistan,647500,30551674,47.18405250965251
South Sudan,644329,11296173,17.531684900105382
France,643427,64291280,99.92008417427307
Somalia,637657,10495583,16.45960602643741
Central African Republic,622984,4616417,7.410169442553902
Ukraine,603700,45238805,74.93590359450057
Botswana,600370,2021144,3.3664973266485667
Madagascar,587040,22924851,39.051599550286184
Kenya,582650,44353691,76.12407277096027
Yemen,527970,24407381,46.228727011004416
